model_name,unseen_target_class_l3,molecule_class_pairs,unique_molecules,mean_max_pchembl_value,median_max_pchembl_value,mean_activity_records,mean_unique_targets,top1_softmax_mean_known_class,top1_softmax_mean_probability,top2_softmax_mean_known_class,top2_softmax_mean_probability,top3_softmax_mean_known_class,top3_softmax_mean_probability,mean_top1_softmax_probability,median_top1_softmax_probability,mean_softmax_entropy,fraction_confident_ge_0_50,fraction_confident_ge_0_70,fraction_confident_ge_0_90,top1_per_molecule_softmax_mode,top1_centroid_cosine_known_class,top1_centroid_cosine_similarity,top2_centroid_cosine_known_class,top2_centroid_cosine_similarity,top3_centroid_cosine_known_class,top3_centroid_cosine_similarity,top1_centroid_euclidean_known_class,top1_centroid_euclidean_distance,top2_centroid_euclidean_known_class,top2_centroid_euclidean_distance,top3_centroid_euclidean_known_class,top3_centroid_euclidean_distance,mean_nearest_centroid_cosine_similarity,top1_per_molecule_centroid_mode
v2_scaffold,YEATS domain,145,145,6.774206896551724,6.75,2.0551724137931036,1.3517241379310345,Protein methyltransferase,0.27273795008659363,Transient receptor potential channel,0.18856550753116608,Bromodomain,0.17547543346881866,0.79739386,0.8541615,0.6217825,0.896551724137931,0.7103448275862069,0.42758620689655175,Protein methyltransferase,Protein methyltransferase,0.6886370182037354,Transient receptor potential channel,0.630592942237854,Voltage-gated calcium channel,0.6074820756912231,Bromodomain,7.25924825668335,Transient receptor potential channel,8.147994041442871,Voltage-gated sodium channel,8.425224304199219,0.7788396,Protein methyltransferase
v3_cluster,Aspartic protease,241,241,7.147800829875518,7.02,1.045643153526971,1.012448132780083,Voltage-gated calcium channel,0.3445742130279541,Transient receptor potential channel,0.25836697220802307,Serine protease,0.1090334877371788,0.8899649,0.973356,0.35415536,0.9626556016597511,0.8464730290456431,0.7178423236514523,Voltage-gated calcium channel,Voltage-gated calcium channel,0.8756815195083618,Transient receptor potential channel,0.6368909478187561,Serine protease,0.4902714490890503,Transient receptor potential channel,7.718681812286377,P2X receptor,8.900343894958496,Bromodomain,8.941543579101562,0.85014385,Voltage-gated calcium channel
v3_cluster,Cysteine protease,175,175,5.739199999999999,5.7,1.2514285714285713,1.0,Transient receptor potential channel,0.3895568549633026,P2X receptor,0.21123594045639038,Voltage-gated calcium channel,0.12567280232906342,0.78857213,0.8706668,0.60526174,0.8514285714285714,0.68,0.4514285714285714,Transient receptor potential channel,Transient receptor potential channel,0.7504030466079712,Voltage-gated calcium channel,0.6638640761375427,Plant homeodomain,0.5844234228134155,Transient receptor potential channel,6.721716403961182,P2X receptor,7.740555286407471,Bromodomain,8.320244789123535,0.8024864,Transient receptor potential channel
v3_cluster,DNA methyltransferase,293,293,5.534641638225256,5.36,1.2081911262798635,1.075085324232082,Protein methyltransferase,0.23688040673732758,Transient receptor potential channel,0.21619905531406403,Bromodomain,0.14133726060390472,0.7977929,0.8677135,0.60545844,0.8873720136518771,0.6825938566552902,0.4641638225255973,Protein methyltransferase,Protein methyltransferase,0.7023919820785522,Transient receptor potential channel,0.6747111082077026,Plant homeodomain,0.5904078483581543,Transient receptor potential channel,7.393260478973389,Bromodomain,7.471577167510986,P2X receptor,7.93885612487793,0.8156522,Protein methyltransferase
v3_cluster,Endoplasmic reticular retrotranslocon family,591,591,6.500964467005075,6.52,1.1844331641285957,1.0,Transient receptor potential channel,0.3164972960948944,Bromodomain,0.24904370307922363,P2X receptor,0.1445990353822708,0.71937853,0.7387693,0.830069,0.7851099830795262,0.560067681895093,0.3062605752961083,Transient receptor potential channel,Transient receptor potential channel,0.7484690546989441,Bromodomain,0.5840444564819336,Plant homeodomain,0.5717451572418213,Transient receptor potential channel,6.806097984313965,Bromodomain,7.214556694030762,P2X receptor,7.7965407371521,0.764312,Transient receptor potential channel
v3_cluster,GABA-A receptor,939,939,7.722907348242811,7.79,1.4014909478168265,1.308839190628328,Voltage-gated sodium channel,0.4251401126384735,Transient receptor potential channel,0.21849311888217926,Bromodomain,0.1311367303133011,0.81327015,0.89092636,0.55652416,0.906283280085197,0.7220447284345048,0.48136315228966986,Voltage-gated sodium channel,Voltage-gated sodium channel,0.710532546043396,Transient receptor potential channel,0.681881844997406,Bromodomain,0.5133475661277771,Voltage-gated sodium channel,6.542671203613281,Transient receptor potential channel,7.347488880157471,Bromodomain,7.696590900421143,0.8023293,Voltage-gated sodium channel
v3_cluster,Protein kinase regulatory subunit,224,224,6.305357142857143,6.055,1.15625,1.1160714285714286,Protein Kinase,0.361765593290329,P2X receptor,0.24532243609428406,Bromodomain,0.16074486076831818,0.73299015,0.7658279,0.7525416,0.8303571428571429,0.6071428571428571,0.2857142857142857,Protein Kinase,Protein Kinase,0.8224799633026123,P2X receptor,0.6113165020942688,Protein methyltransferase,0.5275167226791382,P2X receptor,7.241607189178467,Bromodomain,7.842061996459961,Voltage-gated sodium channel,9.380528450012207,0.7972088,Protein Kinase
v3_cluster,Protein-glutamine glutamyl-transferase,471,471,6.299065817409765,6.32,1.683651804670913,1.443736730360934,Transient receptor potential channel,0.35034024715423584,Bromodomain,0.13093255460262299,Plant homeodomain,0.12937915325164795,0.7574423,0.8048997,0.7117956,0.8237791932059448,0.6199575371549894,0.37791932059447986,Transient receptor potential channel,Transient receptor potential channel,0.7419604659080505,Plant homeodomain,0.7073476910591125,Voltage-gated calcium channel,0.5501430034637451,Transient receptor potential channel,6.828144550323486,Bromodomain,7.6469221115112305,P2X receptor,8.445977210998535,0.7915073,Transient receptor potential channel
v3_cluster,Ryanodine receptor,124,124,6.949193548387097,6.99,1.0806451612903225,1.032258064516129,Bromodomain,0.22318235039710999,Transient receptor potential channel,0.19981572031974792,Voltage-gated calcium channel,0.17527149617671967,0.71672046,0.7630495,0.8309219,0.8145161290322581,0.5645161290322581,0.25,Bromodomain,Voltage-gated calcium channel,0.6584392786026001,5HT3 receptor,0.6144550442695618,Transient receptor potential channel,0.6138238310813904,Bromodomain,7.180403232574463,Transient receptor potential channel,7.8515944480896,P2X receptor,8.179964065551758,0.77676743,Plant homeodomain
v3_cluster,Smoothened receptor (frizzled family GPCR),954,954,6.916320754716981,7.0,1.578616352201258,1.140461215932914,Transient receptor potential channel,0.4574219584465027,P2X receptor,0.1482798010110855,Bromodomain,0.14745593070983887,0.79386944,0.8692322,0.61127394,0.8742138364779874,0.6907756813417191,0.44549266247379454,Transient receptor potential channel,Transient receptor potential channel,0.8174985647201538,P2X receptor,0.5370402336120605,Plant homeodomain,0.5293057560920715,Transient receptor potential channel,6.103250503540039,P2X receptor,7.751881122589111,Bromodomain,7.9045538902282715,0.7876625,Transient receptor potential channel
