unseen_target_class_l3,known_target_class_l3,unseen_molecules,known_molecules,mean_nearest_tanimoto,median_nearest_tanimoto,std_nearest_tanimoto,min_nearest_tanimoto,q25_nearest_tanimoto,q75_nearest_tanimoto,q90_nearest_tanimoto,max_nearest_tanimoto,fraction_ge_0.30,fraction_ge_0.40,fraction_ge_0.50,fraction_ge_0.60,fraction_ge_0.70,rank_by_median_nearest_tanimoto,rank_by_mean_nearest_tanimoto
DNA methyltransferase,Bromodomain,293,10663,0.3047265410423279,0.29133859276771545,0.06927191466093063,0.1315789520740509,0.26582279801368713,0.3291139304637909,0.3733714520931244,0.8135592937469482,0.44368600682593856,0.06484641638225255,0.023890784982935155,0.006825938566552901,0.0034129692832764505,1,2
DNA methyltransferase,P2X receptor,293,10307,0.29374563694000244,0.2738095223903656,0.0830182284116745,0.1111111119389534,0.24444444477558136,0.31506848335266113,0.3927883505821228,0.7123287916183472,0.3242320819112628,0.09897610921501707,0.040955631399317405,0.0034129692832764505,0.0034129692832764505,3,4
DNA methyltransferase,Voltage-gated sodium channel,293,9469,0.25804126262664795,0.25,0.06366977095603943,0.09756097197532654,0.22077922523021698,0.28431373834609985,0.3333333432674408,0.5076923370361328,0.1945392491467577,0.030716723549488054,0.006825938566552901,0.0,0.0,4,5
DNA methyltransferase,Transient receptor potential channel,293,8550,0.2978409230709076,0.28205129504203796,0.06483163684606552,0.125,0.2539682686328888,0.3333333432674408,0.3880341947078705,0.5645161271095276,0.37542662116040953,0.08532423208191127,0.013651877133105802,0.0,0.0,2,3
DNA methyltransferase,Protein methyltransferase,293,2591,0.34412744641304016,0.24742268025875092,0.19687452912330627,0.125,0.2142857164144516,0.38461539149284363,0.6935483813285828,1.0,0.36177474402730375,0.24573378839590443,0.2150170648464164,0.16040955631399317,0.08873720136518772,5,1
DNA methyltransferase,Serine protease,293,2529,0.23798198997974396,0.23333333432674408,0.05509059876203537,0.0810810774564743,0.20512820780277252,0.26595744490623474,0.29782167077064514,0.760869562625885,0.09897610921501707,0.0034129692832764505,0.0034129692832764505,0.0034129692832764505,0.0034129692832764505,9,10
DNA methyltransferase,Voltage-gated calcium channel,293,2036,0.24307094514369965,0.23749999701976776,0.04780455678701401,0.11999999731779099,0.21686747670173645,0.26744186878204346,0.30645161867141724,0.4177215099334717,0.1296928327645051,0.006825938566552901,0.0,0.0,0.0,7,9
DNA methyltransferase,Plant homeodomain,293,2021,0.24984410405158997,0.25,0.05311056971549988,0.09375,0.21686747670173645,0.2800000011920929,0.31004056334495544,0.5249999761581421,0.13651877133105803,0.010238907849829351,0.0034129692832764505,0.0,0.0,4,6
DNA methyltransferase,Protein Kinase,293,1582,0.24962353706359863,0.24074074625968933,0.055952537804841995,0.0833333358168602,0.20652173459529877,0.29347825050354004,0.3287578821182251,0.4399999976158142,0.20819112627986347,0.0034129692832764505,0.0,0.0,0.0,6,7
DNA methyltransferase,Pore-forming toxins (proteins and peptides),293,1394,0.22913336753845215,0.22058823704719543,0.049817200750112534,0.0892857164144516,0.19718310236930847,0.25806450843811035,0.29109320044517517,0.4266666769981384,0.08191126279863481,0.0034129692832764505,0.0,0.0,0.0,10,11
